id,text
[000100 (1)],"    On drihtnes naman hælendes cristes, is þæt wulstan, bisceop on drihtnes naman hæfð gerædd wið his leofan gebroðra þe him getreowe synd for gode, & for worulde."
[000200 (3)],"    Ðæt is þonne ærest ægelwig abbot on eofesham, & Wulfwold abbot on ceortesige, & ælfsige abbot on baðan, & þa gebroðra, & Eadmund abbot on perscoran, & rawulf abbot on wincelcumbe, & Særle abbot on gleweceastre, & ælfstan decanus on wigraceastre."
[000300 (7)],"    Ðæt is þæt we willað georne gehyrsume beon gode, & Sancta marian, & Sancte benedicte, & us sylfe gerihtlæcan swa neah swa we nyht magon þam rihte."
[000400 (9)],"    And beon swa swa hit awriten is:Quasi cor unum et anima una& we willað urum woruldhlaforde Willelme cinincge, & mahthilde þære hlæfdian holde beon for gode & for worulde."
[000500 (12)],"    And habbe we us gerædd betweonan to ure saule þearfe, & to ealra þara gebroðra þe us underþeodde synd þe munuchades synd."
[000600 (14)],"    Þæt is þæt we willað beon on annesse, swylce ealle þasviimynstras syn an mynster, & beon swa hit her beforan awriten is:Quasi cor unum et anima una."
[000700 (16)],"    Ðæt is þæt we ælcere wucan singaniimæssan on ælcum mynstre synderlice for eallum gebroðrum, monandæge & frigedæge."
[000800 (18)],    And wite se broðar þe capitula mæssewuca bið þæt þas mæssan geforðige for ða gebroðra þe libbende synd & for ælcan forðfarenan breðer.
[000900 (20)],    Ælc þæra þinga fore don swylce hig ealle ætgædere on anum mynstre wæron.
[001000 (22)],    & nu is þara abboda cwydrædene þæt hig willað beon gode gehyrsume & heora bisceope to heora gemænelicum þearfe.
[001100 (23)],"    Þæt is þæt heora ælc sceal don anCmæssan, & of his agenra handa gebycge & anCþearfendra manna gebaðige, & þa fedan, & ealle þa gescygean, & ælc singe himsylfviimæssan, & him fore donxxxnihta his mete beforan him, & ænne pænig on uppan þam mete."
[001200 (28)],"    God us gefultumige, þæt we hit þus motan gelæstan, & mid suman gode geeacnian."
[001300 (29)],Sic Fiat.
[001400 (30)],    Ðis synd þara gebroðra naman on eofesham.
[001500 (30)],"    Þæt is ærest ægelwig abbot & Godric abbot, & ægelwine decanes, & Ordmær, & Godefrið, & þeodred, Regnold, & eadric, ælfwine, & eadwig, Colling, & leofwine, ælfric, & wulfwine, Sired, & bruning, ælmær, & ælfwine, ægelric, & ægelwyrd, Dunning, & Sægeat, Vhtred, & eadweard, Eadmund, Vlf, Brihtric, Wulfsige, Sexa, ælfwine, Wlmær, ægelwig."
[001600 (37)],    Ðis syndon þara broðra naman on ceortesige.
[001700 (37)],"    Þæt is ærest wulfwold abbot, & ælfward, & Sælaf, Oter, & godwine, æþestan, & eadgar, Eadmær, & godwine, ælfwine, & benedict, Siwine, & alfwold, Brihtnoð, & ælfric, Godric, & ælfric, Oswold, & ælfric, & wulfward, & wulfrie."
[001800 (42)],    Ðis syndon þara gebroðra naman on baðan.
[001900 (42)],"    Þæt is ærest ælfsige abbot, & ælfric, leofwig, & hieðewulf, ælfwig, & ægelmær, eadwig, & godwine, ægelwine, & oswold, ælmær, & þeodwold, eadric, ægelmær, sæwulf, þured, ægelric, & Hærlewine."
[002000 (45)],    And Godric munuc on mældmes byrig ealswa ure an & ealswa wulwerd pices broðor on tantune.
