id,text
[000100 (1)],Territoria autem istius agri hec sunt.
[000200 (1)],    Ærest fram toppes oran up on exan on þone nearan team pol.
[000300 (2)],    Þanon up on exan.
[000400 (2)],    Þonne of exa on þa smala lace.
[000500 (3)],    Of þære lace eft on exa.
[000600 (3)],    Þanon up andlang exa on þone uferan team pol.
[000700 (4)],    Þanon up on exan stream oð pole.
[000800 (5)],    Upp of pole on þone ealdan herpað to dyran treowe.
[000900 (5)],    Þanon suð on wynford up on stream on wyndeles cumbe midde weardne up on þa pyrian.
[001000 (7)],    Þanon andlang dic on þone weig.
[001100 (7)],    East andlang weiges on þære dice hirnan andlang dic ut on clyst.
[001200 (8)],    Andlang streames eft on toppes oran.
[001300 (10)],    Þis synd þære anre gyrde landgemæro æt æschyrste þe gebyrað in to þære hyde æt toppeshamme.
[001400 (11)],    Ærest fram æschyrste.
[001500 (11)],    To æsc wylles lace.
[001600 (12)],    Þanon up to herpaðe.
[001700 (12)],    And fram þam herpaðe suð rihte oð hit cymð to gyrde hrigces forda.
[001800 (13)],    Fram gyrde hricges forda adun on stream to wungyfe fordan.
[001900 (14)],    Þanon west on þone herpað oð<../images/tbar.gif>hit cymð to æsc willes lace heafdon.
[002000 (16)],    Toppeshammes boc.
