id,text
[000100 (1)],"    Ðegenes lagu: Ðegenlagu is, þæt he sy his bocrihtes wyrðe & þæt he ðreo ðinc of his lande do: fyrdfæreld & burhbote & brycgeweorc."
[000200 (1.1)],"    Eac of manegum landum mare landriht arist to cyniges gebanne, swilce is deorhege to cyniges hame & scorp to friðscipe & sæweard & heafodweard & fyrdweard, ælmesfeoh & cyricsceat & mænige oðere mistlice ðingc."
[000300 (2)],"    Geneates riht: Geneatriht is mistlic be ðam ðe on lande stænt: on sumon he sceal landgafol syllan & gærsswyn on geare & ridan & auerian & lade lædan, wyrcan & hlaford feormian, ripan & mawan, deorhege heawan & sæte haldan, bytlian & burh hegegian, nigefaran to tune feccan, cyricsceat syllan & ælmesfeoh, heafodwearde healdan & horswearde, ærendian fyr swa nyr, swa hwyder swa him mon to tæcð."
[000400 (3)],    Kotsetlan riht: Kotesetlan riht be ðam ðe on lande stent: on sumon he sceal ælce Mondæge <ofer> geares fyrst his laforde wyrcan oðð III dagas ælcre wucan on hærfest.
[000500 (3.2)],    Ne ðearf he landgafol syllan.
[000600 (3.3)],"    Him gebyriað V æceres to habbanne; mare, gyf hit on lande <ðeaw> sy; & to lytel hit bið, beo hit a læsse; forðan his weorc sceal beon oftræde."
[000700 (3.4)],"    Sylle his heorðpænig on halgan Ðunresdæg, ealswa ælcan frigean men gebyreð, & werige his hlafordes inland, gif him man beode, æt sæwearde & æt cyniges deorhege & æt swilcan ðingan, swilc his mæð sy, & sylle his cyricsceat to Martinus mæssan."
[000800 (4)],"    Gebures gerihte: Geburgerihta syn mislice: gehwar hy syn hefige, gehwar eac medeme; On sumen lande is, þæt he sceal wyrcan to wicweorce II dagas swilc weorc, swilc him man tæcð, ofer geares fyrst ælcre wucan, & on hærfest III dagas to wicweorce & of Candelmæsse oð Eastran III; gif he aferað, ne ðearf he wyrcan ða hwile ðe his hors ute bið."
[000900 (4.1)],"    He sceal syllan on Michaeles mæssedæig X gafolpæniga & on Martinus mæssedæg XXIII systra beres & II henfugelas, on Eastran an geong sceap oððe II pæniga."
[001000 (4.1a)],"    & he sceal licgan of Martinus mæssan oð Eastran æt hlafordes falde, swa oft swa him to begæð."
[001100 (4.1b)],"    & of ðam timan, ðe man ærest ereð, oð Martinus mæssan he sceal ælcre wucan erian I æcer & ræcan sylf þæt sæd on hlafordes berne; toeacan ðam III æceras to bene & II to gærsyrðe; gyf he maran gærses beðyrfe, ðonne earnige ðæs, swa him man ðafige."
[001200 (4.2)],"    His gauolyrðe III æceras erige & sawe of his aganum berne, & sylle his heorðpænig & twegen & twegen fedan ænne headorhund & ælc gebur sylle VI hlafas ðam <inswane>, ðonne he his heorde to mæstene drife."
[001300 (4.3)],"    On ðam sylfum lande, ðe ðeos ræden on stænt, gebure gebyreð, þæt him man to landsetene sylle II oxan & I cu & VI sceap & VII æceras gesawene on his gyrde landes."
[001400 (4.3a)],"    Forðige ofer þæt gear ealle gerihtu, ðe him to gebyrigean; & sylle him man tol to his weorce & andlaman to his huse; ðonne him <forðsið> gebyrige, gyme his hlaford ðæs he læfe."
[001500 (4.4)],"    <Ðeos> landlagu stænt on suman lande; gehwar hit is, swa ic ær cwæð, hefigre, gehwar <eac> leohtre; forðam ealle landsida ne syn gelice."
[001600 (4.5)],"    On sumen landa gebur sceal syllan huniggafol, on suman metegafol, on suman ealugafol."
[001700 (4.6)],"    Hede se ðe scire healde, þæt he wite a, hwæt ealdlandræden sy & hwæt ðeode ðeaw."
[001800 (5)],"    Be ðam ðe beon bewitað: Beoceorle gebyreð, gif he gafolheorde healt, þæt he sylle ðonne lande geræd beo."
[001900 (5.1)],"    Mid us is geræd, þæt he sylle V sustras huniges to gafole; on suman landum gebyreð mare gafolræden."
[002000 (5.2)],"    Eac he sceal hwiltidum geara beon on manegum weorcum to hlafordes willan, toeacan benyrðe & bedripe & mædmæwecte."
[002100 (5.3)],"    & gyf he wel gelend bið, he sceal beon gehorsad, þæt he mæge to hlafordes seame þæt syllan oððe sylf lædan, swæðer him man tæce."
[002200 (5.4)],    & fela ðinga swa gerad man sceal don; eal ic nu atellan ne mæig.
[002300 (5.5)],"    Ðonne him forðsið gebyrige, hede se hlaford ðæs he læfe, bute hwet friges sy."
[002400 (6)],"    Gafolswane: Gafolswane gebyreð, þæt he sylle his slyht, be ðam ðe on lande stent."
[002500 (6.1)],"    On manegum landum stent, þæt he sylle ælce geare XV swyn to sticunge, X ealde & V gynge hæbbe sylf, þæt he ofer þæt arære; on manegum landum gebyreð deopre swanriht."
[002600 (6.2)],"    Gyme eac swan, þæt he æfter sticunge his slyhtswyn wel behweorfe sæncge: ðonne bið he ful wel gewyrces wyrðe."
[002700 (6.3)],    Eac he sceal beon swa ic ær be beocere cwæð oftræde to gehwilcon weorce & gehorsad to hlafordes neode.
[002800 (6.4)],    Ðeow swan & ðeow beocere æfter forðsiðe be anre lage wyrðe.
[002900 (7)],"    Be æhteswane: Æhteswane, ðe <inheorde> healt, gebyreð stifearh & his gewirce, ðonne he <spic> behworfen hæfð, & elles ða gerihtu, ðe ðeowan men to gebyriað."
