id,text
[000100 (1)],totoque nisu melioris arbitrii cultum illustrati pectoris Deo dicauicyres.
[000200 (2)],nefas esse pensabam muti tenacitate silentii cum nullo partirifor.
[000300 (3)],inuidie siquidem maculam de sese non abluit qui alteri conferre denegatþurhteon.
[000400 (4)],ut alios exhortationibus ueritatis ad frugem bone messis inuitansmid tyhtin.
[000500 (5)],sicut uestra quoque peritia lectionis assiduitate cognosciteac swylce.
[000600 (6)],diuine munera potestatis stilo quisquam huius modulationis aptauitænig.
[000700 (7)],nec differt qua quis occasione imbuatur ad fidemtostent.
[000800 (8)],sed etiam remissioribus aliquando pennis discendit ad terrasaslacedrum.
[000900 (9)],saepe belliger miles<cempa>.
[001000 (10)],"cur, inquiens, afabilis amice, quem gratia purae dilectionis amplector<gespræcea>."
[001100 (11)],dum me profusius niteris uenerari pre ceteris et fidi propositi sedulitate sectaris<getrywes> <ingehydes>.
[001200 (12)],qui ab etatis primeue tirocinio regis eterni castra non deserens<on> campdome.
[001300 (13)],accepit testimonium beati iam meriti euangelice sacramento doctrineof.
[001400 (14)],habes Laurentium difficili comparatione presbiterumearfoþlicre <wið>.
[001500 (15)],"quid Ursini dicam quoque presbiteri annosam patientiameac, þæt."
[001600 (16)],nec Hieronimi diuine legis interpretis et celestis bibliotece cultoriswealcstodys.
[001700 (17)],exempla pudeat imitari atque ad generosas quoque feminas et preclare indolis fama subnixasgegodode.
[001800 (18)],proprie disputationis documenta transmittereagenre smeaunge.
[001900 (19)],uere dignum in quo Dominus habitet templum ieiuniis castigatumgeþread.
[002000 (20)],ad hec ego rursus congrua responsione perfungargedafenlicre andsware.
[002100 (21)],quosdam collationibus adsidue disputationis ad meliora uexistimid þurhtogenessum.
[002200 (22)],cessent longe deinceps excusationis ambagesbeladunge.
[002300 (23)],Parcite puluerei squalentia iugera campi Et steriles habitare plagasstedig dæl.
[002400 (24)],Qui maris undisonas fluctu surgente procellashreoh.
[002500 (25)],nec bibule numeris equantur arenaeðurstige.
[002600 (26)],Noxia contempti uitans discrimina mundifrecennyssa.
[002700 (27)],Sorbuit et proprii redit in uirgulta rigoristelegra.
[002800 (28)],In geminum reuoluta latus nudataque tellusbenæcod.
[002900 (29)],Intrat in absentis pelagi mareunandwerdes brymmes.
[003000 (30)],Ingrediens populus rude iam baptisma gerebatadreah.
[003100 (31)],Aulica depasto mutans conuiuia foenoaettum.
[003200 (32)],"Cursibus extreme sors inreparabilis horaeþære, <ungeendod>."
[003300 (33)],Instauraret opus pomisque uetaret acerbismid.
[003400 (34)],"Donaretque suis semper placatus, ut unde Culpa dedit mortem, pietas daret inde salutembuton he forgeafe."
[003500 (35)],Nil quod ledat habens matremque obscurat honorewryhð.
[003600 (36)],Omnia qui propriis uestit nascentia donisealle cenninga.
[003700 (37)],Tersit et adtactu procul euanescere iussitmid <hrepunge>.
[003800 (38)],Hunc procul ut uidere decem maculosa gerentes Leprosi portenta uirisplottigan.
[003900 (39)],Discolor obscenis turpabat poena figurisatelicum.
[004000 (40)],Qui pompae mortalis honor rapidisque quadrigisscryðum.
[004100 (41)],Dum tibi uita uiget lacrimis mala crimina purgesafeorma ðu.
