id,text
[000100 (1)],"    Ðæs dæiges þe ure Hælend for ure alesednysse geðolede pine on þær halgen rode, þa wæs þære neh sum were standende, se wæs Ioseph genæmned."
[000200 (3)],"    And he wæs god were and rihtwis, and næs næfre his willes, þær me þone Hælend forwreigde on nanen gemange."
[000300 (4)],    He wæs of þære ceastre þe is genæmned Barimathia.
[000400 (5)],    He onbad on Ierusalem forð þæt se Hælend wæs ahangen.
[000500 (6)],"    And to þan æfene he eode to Pilate and abæd æt him Cristes lichame and hine of þære rode genama and on clæne scete bewand and hine on his neowe þruh aleigde, on þæreþe nan oðer mann on ne læg."
[000600 (10)],"    Þa þa Iudees þæt geherdan, þæt Ioseph hæfde þæs Hælendes lichame abeden, þa sohten heo hine and þa twelf cnihtes þe sægden þæt he nære on dernelegere acænnod, and Nichodemus and manega oðre þe ær mid þam Hælende spæcen and his gode weorc gesegen and on hine gelefden."
[000700 (14)],"    Ealle þær heo heom sylfen bedigeledan and behyddan buten Nichodemus, ane, forþanþe he wæs an ealdor of þan Iudeisce folca."
[000800 (16)],"    Þa com he to heom, þær þær heo heora samnunge hæfdon and cwæð to heom, hwy comen ge hider on þysser gesamnunge, þæt ic hit ærre nyste?"
[000900 (18)],"    Þa andsweredan þa Iudees and cwædan, Ac hwu wære þu swa dyrstig, þæt þu dorstes innen ure gesamnunga gan, þu þe wære werigend and midspecend þan Hælende?"
[001000 (20)],    Ac seo he æfre mid þe here and ec on þære toweardan wurlde.
[001100 (21)],"    Nichodemus cwæð, Amen, Amen."
[001200 (23)],"    Eallswa gelice Ioseph æfter hine æteowde and heom to com and þuss cwæð, For hwy synden ge swa unrote ongean me?"
[001300 (24)],    Is hit forþanþe ic abæd þæs Hælendes lichame æt Pilaten?
[001400 (25)],    Soð hit is þæt ic hine abæd and on clænen syndonissce hræigle befeold and hine on minen þruge geleigde and ætforen þan scræfe mycelne stan ahwylfde.
[001500 (27)],"    And ic secge to soðen þæt ge nan þing wel ne dyden ongean þone rihtwisen, þæt ge hine on rode anhengan and mid spere sticoden."
[001600 (30)],"    Þa þa Iudees þæt geherdan, þa gefengan heo hine and heten hine on cwarterne fæste beclysen and cwæðen to him, Oncnaw nu and ongit þæt hit þe sceal lytel fremigen, þæt þu toþohtest."
[001700 (32)],    We wyten þæt þu ne eart næfre wyrðe þæt þu bebyried beo.
[001800 (33)],    Ac we sculen syllen þin flæsc heofone fugelan and wilde deoran.
[001900 (34)],    Þa Iudees hine þa on cwarterne gebrohten and þa dure fæste belucan.
[002000 (35)],    And Annas and Caiphas þa locan fæste geinsegelodan and þærto herdes gesetten and geðoht worhten wið þan ferrædden on hwylcen deaðe heo hine syllen mihten and ofslean.
