id,text
[000100 (2)],"    Gehyrað nu, men þa leofestan, hu þas halgan bec eow myngiað and eow þone weg ætywiað and eac in gelædað to heofena rice, and hu ge magon þa yfelu þisses middaneardes forbugan and gode gefylstendum to ðam ecan life becuman."
[000200 (5)],"    Clypað ure drihten þurh his witegan swiðe stiðlice to ðam preostum, þe godes folce wisian scylan, þæt heo eow myngian and cyðan eow soðfæstnesse weg, and þus cweð:Clama, ne cesses, quasi tuba; exalta vocem tuam et adnuntia populo meo peccata eorum, ðæt is on urum geþeode: Clypa, ne ablin ðu, ac ahefe up þine stefne swa beme and cyð minum folce heora synna."
[000300 (10)],"    Gif þu þonne nelt þam unrihtwisan his synna cyðan, þu bist his sawle scyldig."
[000400 (11)],"    Her ge magon gehyran, broðru ða leofestan, þæt ealle godes mæssepreostas and biscopas and oðre godcunde lareowas synd on mycelre frecednysse, gif heo eow godes bebodu ne cyðað."
[000500 (14)],"    Be ðam cweð drihten þurh þone witegan:Audiens ex ore meo sermonem meum, adnuntiabis eis ex me, non ex te, ðæt is on urum geþeode: Of minum muðe gehlystendum þu bodast hym mine spræce of me, næs of þe."
[000600 (17)],"    Nu ge magon ongitan, hwylcne ege þa mæssepreostas habbað toweardne, þonne god wile girnan to hym ealra þara sawla, þe hym her on life betæhte synd."
[000700 (20)],"    Þonne we witan, þæt anra manna gehwylc mæg earfoðlice be his agenre sawle gescead agyldan on domes dæg."
[000800 (21)],"    Forþam us is micel þearf, þæt we eow þone weg cyðen and þæt siðfæt ætywen, þe ge þurh magon to ðam ecan life becuman."
[000900 (23)],"    And eac eow is to warnienne, forðan gif hit us is frecenlic, þæt we hit eow ne cyðen, hit is eow micele mare frecednes, þæt ge nellen gefyllan, þæt we eow to eowre sawle þearfe cyðað."
[001000 (26)],"    Þonne þurh þone witegan is gecweden: Gif þu bytst þam synfullum, þæt he of his unrihtan wegum gecyrre and he gecyrran nelle of his unrihtwisnessum, he swelt and þu hæfst alysed þine sawle fram his witum."
[001100 (29)],"    Ealra ærest sceal ælc cristen man witan and on his heortan trumlice healdan þæt æreste bebod and þæt mæste, þæt is, þæt he lufige his drihten mid ealre heortan and mid eallum mode and mid eallum mægne."
[001200 (33)],"    And oðer bebod is þysum fulgelic, þæt is, þæt ælc man lufige his nextan swa hine sylfne."
[001300 (34)],"    Nu wenð manig man, þæt þis sy gecweden be his freondum, þe him gesibbeste synt and þurh mægrædenne nehste."
