id,text
[000100 (1)],    Warna þe wið þa wyrðmyntas þe þu butan gylte heldan nemiht.
[000200 (1)],    Healicnys wyrðmynnta is leahtra micelnys on maran wite se mara bið gecwylmed.
[000300 (2)],    Se læssa is gifennissa ner.
[000400 (3)],    Ða mihtigan witodlice mihtelice wita þoliað and se stiþaste dom gewyrð þam þe oðra wealdað ðam þe micel bið geseald him bið micel æt of gesoht ðam þe mare bið befæst.
[000500 (5)],    Him bið mare æ of gan wurðmyntas witodlice æfter fræcednisse beoð adrogone.
[000600 (6)],    Hrædlice bið se andweald on frecednisse hrædlice bið þolað he hrire.
[000700 (7)],    Swa micele witodlice swa mara wurðmynt swa miccle maran beoð fræcednissa.
[000800 (8)],    Swa hehre treow swa strenglucur fran windum astyred and his bogas rædlucur beoð tobrocene.
[000900 (9)],    Hegran styplas on swæran hryre niðer sigað.
[001000 (10)],    Ða hehstan duna gelolicum ligeræscum beoð for slegene.
[001100 (11)],    On ricne man hrædlice fealð anda.
[001200 (11)],"    Se wulderfulla hrædlice sirgungum geopenað, wuldor witodlice andan acenð, anda gewislice fræcednissa."
[001300 (12)],"    Ðeh þe æni on wurulde wuldre scine þeh þe he on purpuran and on golde glitinie, ðeh þe he on deorwurðum girlan gefrætowod ofer hlifie, þeh þe he beo mid folce utan ymtrymmed, ðeh þe he beo mid waciendra meniu gescild, þeh þe he beo mid ungerimum gyhyrsumiendra mæniu ymtrymed, ðeh þe he beo mid weredum orsorh þehweðere he æfre on wite wunað and on nearunisse and æfre on gnornunge and on orleahtre, on godewebbenum beddum he hlinað ac þehweðere oft gedrefeð, on plumfeðerum he lið, on þehweðere he lið ac þehweðere oft æblæce, on gyldenum beddum he rest ac oftrædlice gedrefed."
[001400 (20)],"    Gewæde is þises middangeardes gesælð and litel is þisse worulde wuldor, gewitenlic and tydder is hwilwendlic miht."
[001500 (21)],"    Sege la, wær synd cyningas, hwær ealdormenn?"
[001600 (22)],    Hwær synd caseras?
[001700 (22)],    Hwær synd welie menn woruldþinga?
[001800 (23)],    Her synd woruldrican?
[001900 (23)],    Hwær synd welie middangeardes?
[002000 (23)],"    Ealswa sceadu hi gewitan, ealswa swefen hi fordwinon."
[002100 (24)],    Hi synd gesohte and hi nesynd gemette.
[002200 (25)],"    Welan to fræcednisse gelaþiað, welan to forwyrde gedragað, welfeala for welan on orleahter becomon, welmanegum welan deað acendon."
[002300 (27)],    Næfð he næfre modes stilnesse þe hine sylfne eorðlicum carum þeott.
[002400 (27)],    Ða carfulnyssa witodlice þæt mod gedrefað and astyriað.
[002500 (28)],    Seo miht witodlice þære carfulnysse næfre þolað angsumnyssum.
[002600 (29)],    Gif þu wille beon stille negewilna þu ænig þing woruld þinges.
[002700 (30)],    Æfre þu æfst modes stilnysse gif þu fram þe awyrpst middangeardes care.
[002800 (31)],    Æfre þu bist on ecere stilnysse gif þu þe ætbryst fram eorðlicra dæda gehlyda.
[002900 (32)],"    Næfre welan nebeoð butan synne begytene, ne nan þa eorðlican þing nemæg butan synne gebrytsnian."
[003000 (33)],    Ðearle seldsene is þæt þa welan agniað to reste onetton ðaþe hi sylfe mid eorðlicum carum bewindaþ hi hi sylfe fram godes lufe ascyriað.
[003100 (35)],    Seþe on woruldþinga lufe bið gefæstnod nateshwon he on god negelustfullað.
[003200 (36)],    <Woruldþinga> <witodlice> fram godes gimene awendað.
[003300 (37)],    Nemæg ænig crist lufian samod and worulde.
[003400 (37)],"    Earfoðe is heofenlicum carum and earðlicum samod þywian, earfoðelic is god samod and middangeard to luuigenne."
[003500 (39)],    Nemæg æghweþer gelice beon gelufod.
[003600 (39)],    Forþi wiðsac woruldþingum for godes ege and forhafa þe for gode fram woreldcarum gecneordlæce þæt þu gode þeowige.
[003700 (41)],    Butan hremininge worulde nan caru þe fram godes lufu ne ætbrede nan carefulnys woruldþinga þe fram godes gimene gelatige.
[003800 (42)],    Awurpp fram þe swa swa wæt swa god angin mæg lettan.
[003900 (43)],    Eallum mode ascuna and geniþera þæt middangeard lufað.
[004000 (44)],    Beo þu dead middangearde and middangearde þe.
[004100 (44)],    Middangeardes wuldor swa swa deað fram awurp.
[004200 (45)],    Oferswið þe fram þises lifes lufe swaswa gebyrgið.
[004300 (46)],    Nafa þu worulde care.
[004400 (46)],    Swaswa forðfaren ascire þe fram ælcere eordlicere mangunge.
[004500 (47)],    Forseoh libbende þa þingc þe þu æfter deaðe habban nemiht.
[004600 (48)],    Swa hwæt swa þu hæfst hafa to mildheortnysse þæt þin mægen gehelpe þearfan wædlunge.
[004700 (49)],"    And gif þu hwæne gelogodne on nead þearfe ongitst and gif þu hwæne on wædle beþreafodne and gif þu hwæne on ænigum þigum aidlodne acnæwst and gif þu hwæne ofþrihtene oððe geeadmedne gesihst mid þam gehelpe neforseoh þu ænine, ne forhoga ænine, nanne forlæt þu gelærne fram þe, nan unrot gewite fram þe, nan fram þe gescind gehworfe."
[004800 (53)],"    Ealle gemæne, eallum syle and eallum geearca."
